rider_id,city,signup_date,rider_type
R000135,Metroville,2022-09-11,Regular
R000136,Capital City,2022-07-29,Power
R000137,Capital City,2021-03-30,Power
R000138,Metroville,2022-07-22,Occasional
R000139,Capital City,2021-02-04,Occasional
R000140,Capital City,2021-10-26,New
R000141,Capital City,2021-05-01,Regular
R000142,Metroville,2022-10-28,Regular
R000143,Metroville,2021-12-03,Regular
R000144,Metroville,2021-12-07,Occasional
R000145,Metroville,2021-05-01,Occasional
R000146,Metroville,2021-09-09,Regular
R000147,Capital City,2021-07-09,Regular
R000148,Metroville,2022-04-19,Occasional
R000149,Capital City,2021-06-14,Regular
R000150,Capital City,2022-12-21,Regular
R000151,Metroville,2021-02-04,Occasional
R000152,Metroville,2022-09-06,Occasional
R000153,Capital City,2021-02-02,Power
R000154,Metroville,2021-07-01,Regular
R000155,Capital City,2022-04-03,Regular
R000156,Metroville,2021-03-16,Regular
R000157,Metroville,2022-01-18,Power
R000158,Capital City,2022-09-09,Occasional
R000159,Metroville,2022-03-07,Regular
R000160,Metroville,2021-10-13,Regular
R000161,Metroville,2022-07-24,New
R000162,Capital City,2021-09-24,Regular
R000163,Capital City,2022-12-29,New
R000164,Metroville,2022-04-07,Occasional
R000165,Metroville,2021-08-07,Regular
R000166,Metroville,2022-07-03,New
R000167,Metroville,2021-07-31,Regular
R000168,Metroville,2022-09-15,Regular
R000169,Capital City,2021-04-01,New
R000170,Metroville,2022-03-02,Regular
R000171,Metroville,2021-03-18,Occasional
R000172,Metroville,2021-07-31,Occasional
R000173,Metroville,2021-04-18,Occasional
R000174,Capital City,2022-06-12,Regular
R000175,Metroville,2022-07-29,Occasional
R000176,Metroville,2021-12-15,Power
R000177,Capital City,2022-07-20,Regular
R000178,Metroville,2021-06-28,Occasional
R000179,Metroville,2021-07-07,Occasional
R000180,Capital City,2023-01-01,Occasional
R000181,Metroville,2021-04-28,Occasional
R000182,Metroville,2022-02-04,Occasional
R000183,Capital City,2021-08-19,Regular
R000184,Capital City,2022-12-13,Power
R000185,Metroville,2022-09-09,Regular
R000186,Metroville,2021-12-26,Regular
R000187,Metroville,2022-02-21,Occasional
R000188,Metroville,2022-05-01,Regular
R000189,Capital City,2022-11-03,Regular
R000190,Capital City,2022-04-30,Regular
R000191,Metroville,2021-05-31,Occasional
R000192,Capital City,2022-10-13,Power
R000193,Capital City,2022-10-06,Power
R000194,Metroville,2021-08-22,Regular
R000195,Capital City,2022-10-23,Power
R000196,Capital City,2021-07-05,Occasional
R000197,Metroville,2022-08-26,New
R000198,Metroville,2022-08-23,Power
R000199,Capital City,2021-02-25,Occasional
R000200,Capital City,2021-09-02,New
R000201,Metroville,2021-06-18,Power
R000202,Metroville,2022-07-16,Power
R000203,Metroville,2022-04-05,Power
R000204,Metroville,2021-07-10,Regular
R000205,Capital City,2021-04-20,Regular
R000206,Metroville,2021-10-25,Power
R000207,Capital City,2022-05-30,Occasional
R000208,Capital City,2021-06-28,Occasional
R000209,Metroville,2021-01-25,Regular
R000210,Capital City,2022-06-10,New
R000211,Capital City,2021-01-01,New
R000212,Metroville,2022-02-16,Occasional
R000213,Metroville,2021-11-19,Occasional
R000214,Metroville,2021-02-13,Power
R000215,Metroville,2021-03-07,Regular
R000216,Metroville,2021-12-15,New
R000217,Capital City,2021-10-10,Regular
R000218,Metroville,2021-07-21,New
R000219,Metroville,2021-09-26,Power
R000220,Capital City,2022-08-31,Regular
R000221,Metroville,2022-04-23,Power
R000222,Metroville,2022-05-16,Regular
R000223,Capital City,2022-10-28,Power
R000224,Capital City,2022-01-20,New
R000225,Metroville,2022-12-11,Regular
R000226,Capital City,2021-05-09,Occasional
R000227,Metroville,2021-06-13,Power
R000228,Metroville,2022-05-11,Occasional
R000229,Metroville,2021-05-09,Occasional
R000230,Metroville,2022-05-21,Regular
R000231,Metroville,2022-12-25,Occasional
R000232,Capital City,2022-10-21,Occasional
R000233,Capital City,2021-01-07,Regular
R000234,Metroville,2021-03-26,Power
R000235,Metroville,2022-11-02,Power
R000236,Metroville,2022-05-12,Power
R000237,Metroville,2022-10-24,Power
R000238,Metroville,2022-11-30,Power
R000239,Metroville,2022-01-28,Occasional
R000240,Capital City,2022-10-21,Occasional
R000241,Capital City,2021-07-24,Occasional
R000242,Metroville,2022-05-03,Occasional
R000243,Metroville,2022-03-22,Power
R000244,Metroville,2021-02-15,Regular
R000245,Capital City,2021-08-22,Power
R000246,Metroville,2022-05-27,Occasional
R000247,Metroville,2021-06-28,Regular
R000248,Metroville,2022-08-19,Regular
R000249,Metroville,2021-05-27,Regular
R000250,Capital City,2021-05-21,Power
R000251,Capital City,2021-09-04,Occasional
R000252,Metroville,2022-04-28,Power
R000253,Capital City,2021-09-04,Regular
R000254,Capital City,2021-11-11,Power
R000255,Capital City,2022-06-21,New
R000256,Capital City,2022-09-27,Occasional
R000257,Capital City,2022-09-24,Power
R000258,Metroville,2021-02-26,Regular
R000259,Metroville,2021-10-17,Power
R000260,Capital City,2022-01-04,Regular
R000261,Metroville,2021-10-25,Regular
R000262,Capital City,2021-11-07,Power
R000263,Capital City,2021-09-10,Occasional
R000264,Metroville,2022-11-07,Regular
R000265,Metroville,2021-02-11,Power
R000266,Capital City,2021-03-03,Power
R000267,Capital City,2021-03-11,Occasional
R000268,Capital City,2022-09-23,Power
R000269,Capital City,2022-10-31,Regular
R000270,Metroville,2021-11-15,Regular
R000271,Capital City,2022-01-19,Occasional
R000272,Metroville,2022-09-12,Occasional
R000273,Capital City,2022-04-22,Regular
R000274,Metroville,2022-06-19,Occasional
R000275,Metroville,2022-06-21,New
R000276,Metroville,2021-07-01,Power
R000277,Metroville,2021-09-29,Occasional
R000278,Capital City,2022-08-11,Occasional
R000279,Metroville,2021-10-26,Regular
R000280,Capital City,2022-06-28,Occasional
R000281,Capital City,2022-03-22,Regular
R000282,Metroville,2021-09-15,Regular
R000283,Metroville,2022-04-21,Occasional
R000284,Metroville,2022-10-16,Occasional
R000285,Capital City,2021-10-05,Regular
R000286,Metroville,2021-06-17,New
R000287,Metroville,2022-09-23,Occasional
R000288,Capital City,2022-11-11,Power
R000289,Metroville,2021-03-05,Power
R000290,Metroville,2021-06-27,Regular
R000291,Metroville,2022-12-17,Power
R000292,Metroville,2022-09-28,Regular
R000293,Capital City,2022-05-04,Regular
R000294,Metroville,2022-07-15,Regular
R000295,Metroville,2021-11-11,Regular
R000296,Metroville,2021-08-22,Occasional
R000297,Metroville,2021-08-27,Regular
R000298,Capital City,2022-05-28,Occasional
R000299,Capital City,2021-11-17,Regular
R000300,Metroville,2022-11-02,Regular
R000301,Metroville,2022-07-17,Regular
R000302,Metroville,2021-12-09,Regular
R000303,Metroville,2022-12-30,Occasional
R000304,Metroville,2021-11-28,Regular
R000305,Metroville,2022-04-05,Occasional
R000306,Metroville,2021-09-23,New
R000307,Capital City,2022-03-15,Regular
R000308,Capital City,2021-10-25,Power
R000309,Metroville,2021-01-18,Regular
R000310,Capital City,2021-06-11,New
R000311,Metroville,2021-02-23,Regular
R000312,Metroville,2021-08-21,Occasional
R000313,Capital City,2022-07-27,Regular
R000314,Metroville,2022-06-21,New
R000315,Metroville,2022-03-04,Regular
R000316,Capital City,2022-05-24,Power
R000317,Metroville,2022-11-03,Occasional
R000318,Metroville,2021-05-18,Occasional
R000319,Metroville,2021-06-25,Regular
R000320,Metroville,2022-10-31,Regular
R000321,Metroville,2022-02-14,Regular
R000322,Metroville,2022-11-04,Regular
R000323,Metroville,2022-11-11,Power
R000324,Metroville,2021-05-13,Occasional
R000325,Capital City,2021-08-31,Occasional
R000326,Metroville,2021-08-05,Occasional
R000327,Metroville,2021-07-07,New
R000328,Metroville,2022-07-24,Regular
R000329,Metroville,2022-11-04,Regular
R000330,Capital City,2021-07-30,Occasional
R000331,Metroville,2022-10-11,Power
R000332,Capital City,2022-06-25,Regular
R000333,Metroville,2022-10-23,Regular
R000334,Metroville,2021-05-02,Regular
R000335,Metroville,2022-10-24,Regular
R000336,Metroville,2021-02-09,Power
R000337,Metroville,2022-05-06,Occasional
R000338,Metroville,2021-11-14,Power
R000339,Metroville,2022-09-01,Regular
R000340,Capital City,2021-05-28,Power
R000341,Capital City,2022-04-24,Regular
R000342,Metroville,2021-05-19,Occasional
R000343,Capital City,2021-05-03,Occasional
R000344,Metroville,2022-11-22,Regular
R000345,Capital City,2021-04-07,Regular
R000346,Metroville,2022-10-10,Occasional
R000347,Metroville,2021-10-29,Regular
R000348,Metroville,2021-02-27,Occasional
R000349,Metroville,2021-05-14,Occasional
R000350,Metroville,2021-06-02,Occasional
R000351,Metroville,2021-07-15,Regular
R000352,Metroville,2022-02-12,Regular
R000353,Metroville,2022-04-09,Power
R000354,Metroville,2022-06-06,Power
R000355,Metroville,2021-02-15,Occasional
R000356,Capital City,2022-02-14,Occasional
R000357,Metroville,2022-05-02,Occasional
R000358,Metroville,2022-04-05,Power
R000359,Capital City,2021-11-22,Power
R000360,Metroville,2022-08-20,New
R000361,Capital City,2021-02-13,Regular
R000362,Metroville,2021-03-12,New
R000363,Metroville,2022-02-28,Power
R000364,Metroville,2021-09-20,New
R000365,Metroville,2022-02-12,Regular
R000366,Metroville,2022-10-19,Power
R000367,Capital City,2022-12-23,Occasional
R000368,Metroville,2021-09-19,Power
R000369,Metroville,2021-04-05,Power
R000370,Metroville,2021-06-04,Regular
R000371,Metroville,2022-09-21,Regular
R000372,Capital City,2022-10-18,Occasional
R000373,Metroville,2021-06-30,Power
R000374,Metroville,2022-05-28,Occasional
R000375,Capital City,2021-08-01,Occasional
R000376,Metroville,2022-04-05,Power
R000377,Capital City,2022-08-19,Regular
R000378,Metroville,2022-01-09,New
R000379,Capital City,2022-10-23,Occasional
R000380,Capital City,2022-04-26,New
R000381,Metroville,2021-12-19,Regular
R000382,Metroville,2022-03-16,New
R000383,Metroville,2022-07-24,Occasional
R000384,Capital City,2021-10-10,Power
R000385,Metroville,2021-06-24,Power
R000386,Metroville,2021-01-11,Power
R000387,Metroville,2022-02-26,Regular
R000388,Capital City,2021-04-15,Regular
R000389,Metroville,2021-03-03,New
R000390,Capital City,2021-07-09,Occasional
R000391,Capital City,2022-12-24,Occasional
R000392,Metroville,2021-02-17,Regular
R000393,Metroville,2021-06-13,Power
R000394,Metroville,2022-03-01,Occasional
R000395,Metroville,2021-02-21,Power
R000396,Metroville,2022-09-17,Occasional
R000397,Metroville,2022-08-17,Occasional
R000398,Metroville,2022-04-06,Power
R000399,Capital City,2022-09-05,Occasional
R000400,Capital City,2022-09-14,Power
R000401,Capital City,2021-06-14,Regular
R000402,Metroville,2022-07-26,Occasional
R000403,Metroville,2022-03-29,New
R000404,Capital City,2022-03-19,Power
R000405,Metroville,2021-04-22,Regular
R000406,Capital City,2022-05-31,Power
R000407,Metroville,2022-01-15,Power
R000408,Capital City,2022-06-07,Occasional
R000409,Metroville,2021-01-28,Regular
R000410,Metroville,2021-03-23,Regular
R000411,Capital City,2022-04-06,Regular
R000412,Metroville,2021-08-02,Regular
R000413,Metroville,2021-08-19,Power
R000414,Metroville,2022-04-19,Regular
R000415,Capital City,2022-11-10,Occasional
R000416,Metroville,2022-09-29,Occasional
R000417,Metroville,2021-03-23,Regular
R000418,Metroville,2021-10-25,Occasional
R000419,Capital City,2022-03-24,Regular
R000420,Metroville,2022-11-17,Occasional
R000421,Metroville,2022-12-29,Occasional
R000422,Metroville,2022-01-25,Power
R000423,Metroville,2022-08-21,Occasional
R000424,Metroville,2021-03-20,Power
R000425,Metroville,2022-04-08,Occasional
R000426,Metroville,2022-07-20,New
R000427,Metroville,2021-10-06,Power
R000428,Metroville,2021-06-16,Regular
R000429,Metroville,2021-01-09,Occasional
R000430,Metroville,2021-10-21,Regular
R000431,Capital City,2021-06-06,Occasional
R000432,Metroville,2022-12-23,Occasional
R000433,Metroville,2022-09-09,Occasional
R000434,Metroville,2022-10-16,Regular
R000435,Capital City,2021-01-24,Power
R000436,Metroville,2022-08-02,Regular
R000437,Capital City,2021-06-22,Occasional
R000438,Metroville,2022-11-26,Regular
R000439,Capital City,2021-12-19,Occasional
R000440,Metroville,2021-05-15,Regular
R000441,Metroville,2021-06-15,Occasional
R000442,Metroville,2022-08-03,Regular
R000443,Capital City,2021-10-18,Regular
R000444,Capital City,2022-08-24,Regular
R000445,Metroville,2022-11-20,Regular
R000446,Capital City,2022-02-20,Power
R000447,Capital City,2021-12-24,Regular
R000448,Capital City,2022-11-22,Regular
R000449,Metroville,2021-12-31,Power
R000450,Metroville,2022-05-31,Regular
R000451,Metroville,2021-02-02,Regular
R000452,Metroville,2022-04-21,Occasional
R000453,Metroville,2021-02-18,Power
R000454,Capital City,2022-09-18,Regular
R000455,Metroville,2022-01-04,Regular
R000456,Metroville,2021-06-07,Regular
R000457,Capital City,2021-11-11,Occasional
R000458,Metroville,2021-04-06,Occasional
R000459,Metroville,2022-07-27,Power
R000460,Capital City,2022-05-04,Regular
R000461,Capital City,2022-07-19,Occasional
R000462,Capital City,2022-07-04,New
R000463,Metroville,2021-11-05,Regular
R000464,Metroville,2022-12-07,Occasional
R000465,Capital City,2022-07-02,Regular
R000466,Metroville,2022-01-26,Power
R000467,Capital City,2021-11-06,Occasional
R000468,Metroville,2021-02-15,Regular
R000469,Metroville,2022-04-22,Power
R000470,Metroville,2022-04-03,Occasional
R000471,Metroville,2022-07-22,Occasional
R000472,Capital City,2021-01-13,Power
R000473,Metroville,2022-09-13,Regular
R000474,Metroville,2021-12-06,Power
R000475,Capital City,2022-11-23,Occasional
R000476,Capital City,2021-09-07,Occasional
R000477,Metroville,2022-05-19,Power
R000478,Metroville,2022-06-11,Regular
R000479,Metroville,2021-09-17,Regular
R000480,Metroville,2022-01-08,New
R000481,Metroville,2022-02-23,Occasional
R000482,Metroville,2022-05-13,Regular
R000483,Metroville,2022-05-18,Regular
R000484,Capital City,2022-12-08,Regular
R000485,Metroville,2021-02-25,Occasional
R000486,Capital City,2022-06-18,Power
R000487,Capital City,2021-11-19,Regular
R000488,Metroville,2022-01-30,Regular
R000489,Metroville,2022-03-22,Regular
R000490,Metroville,2022-10-22,Occasional
R000491,Metroville,2022-03-22,New
R000492,Metroville,2022-01-07,Regular
R000493,Capital City,2021-03-16,Occasional
R000494,Capital City,2021-07-29,Occasional
R000495,Metroville,2021-11-18,Power
R000496,Capital City,2021-02-05,Occasional
R000497,Metroville,2021-07-01,Occasional
R000498,Metroville,2022-01-27,Regular
R000499,Capital City,2022-12-04,Regular
R000500,Capital City,2022-09-05,Occasional
R000501,Metroville,2022-04-09,Occasional
R000502,Capital City,2022-07-03,New
R000503,Capital City,2021-05-17,Occasional
R000504,Capital City,2022-04-05,Power
R000505,Metroville,2022-11-23,Occasional
R000506,Metroville,2022-09-12,Power
R000507,Capital City,2021-05-01,Regular
R000508,Capital City,2021-10-14,Power
R000509,Metroville,2022-01-13,Occasional
R000510,Capital City,2022-02-14,Regular
R000511,Capital City,2021-10-12,Regular
R000512,Capital City,2021-04-21,Power
R000513,Capital City,2021-07-27,Occasional
R000514,Capital City,2022-09-05,Power
R000515,Metroville,2021-12-03,Power
R000516,Metroville,2021-05-21,Occasional
R000517,Metroville,2022-06-21,Regular
R000518,Metroville,2022-04-16,Occasional
R000519,Metroville,2022-11-17,New
R000520,Metroville,2021-01-06,Regular
R000521,Metroville,2021-10-12,New
R000522,Metroville,2022-12-31,Occasional
R000523,Capital City,2021-07-18,Occasional
R000524,Metroville,2021-06-29,Regular
R000525,Capital City,2021-01-28,Regular
R000526,Capital City,2021-02-14,Occasional
R000527,Capital City,2022-06-14,New
R000528,Capital City,2021-12-25,Regular
R000529,Capital City,2021-10-17,Occasional
R000530,Metroville,2022-10-22,Occasional
R000531,Capital City,2021-02-20,Power
R000532,Capital City,2022-01-28,Occasional
R000533,Metroville,2021-04-03,New
R000534,Metroville,2022-02-14,Regular
R000535,Metroville,2021-02-21,Regular
R000536,Metroville,2022-08-27,Regular
R000537,Metroville,2022-02-28,Regular
R000538,Capital City,2021-07-31,Occasional
R000539,Metroville,2022-02-19,Occasional
R000540,Metroville,2021-02-18,Power
R000541,Capital City,2021-11-09,Regular
R000542,Metroville,2022-02-01,Power
R000543,Capital City,2021-11-15,Occasional
R000544,Capital City,2021-01-18,Regular
R000545,Capital City,2022-03-05,Regular
R000546,Capital City,2021-06-13,Occasional
R000547,Capital City,2022-08-24,Occasional
R000548,Metroville,2022-06-19,Regular
R000549,Metroville,2021-10-28,Regular
R000550,Capital City,2021-02-20,Regular
R000551,Metroville,2021-12-09,Power
R000552,Capital City,2021-02-07,Power
R000553,Capital City,2022-07-07,Regular
R000554,Metroville,2021-04-11,New
R000555,Capital City,2021-05-29,Regular
R000556,Capital City,2022-02-27,Regular
R000557,Metroville,2021-11-12,Occasional
R000558,Metroville,2021-06-19,Occasional
R000559,Metroville,2023-01-01,Power
R000560,Metroville,2022-02-24,Regular
R000561,Capital City,2022-03-14,Power
R000562,Capital City,2022-05-31,Power
R000563,Capital City,2021-10-18,Occasional
R000564,Metroville,2021-05-18,Occasional
R000565,Metroville,2021-04-20,Regular
R000566,Capital City,2021-03-02,Occasional
R000567,Metroville,2022-02-06,Regular
R000568,Capital City,2021-09-12,Regular
R000569,Capital City,2021-10-06,Occasional
R000570,Metroville,2021-10-06,Occasional
R000571,Capital City,2021-02-09,Regular
R000572,Capital City,2022-05-28,Occasional
R000573,Metroville,2021-07-27,Power
R000574,Capital City,2021-09-04,Occasional
R000575,Capital City,2022-07-12,Power
R000576,Capital City,2021-02-26,Power
R000577,Capital City,2022-10-07,Occasional
R000578,Capital City,2022-03-17,New
R000579,Metroville,2021-07-23,Power
R000580,Capital City,2021-02-21,Regular
R000581,Capital City,2021-03-24,Regular
R000582,Metroville,2021-04-07,New
R000583,Metroville,2022-01-23,Power
R000584,Capital City,2022-09-28,Occasional
R000585,Metroville,2022-05-06,Regular
R000586,Capital City,2021-02-12,Power
R000587,Capital City,2022-02-18,Regular
R000588,Capital City,2022-05-16,Occasional
R000589,Capital City,2022-06-12,Regular
R000590,Capital City,2022-08-04,Occasional
R000591,Capital City,2022-12-07,Regular
R000592,Capital City,2022-11-15,Power
R000593,Metroville,2022-04-26,Power
R000594,Capital City,2021-09-02,Regular
R000595,Metroville,2021-04-16,New
R000596,Metroville,2022-10-19,Occasional
R000597,Metroville,2021-09-22,Occasional
R000598,Metroville,2021-11-03,Power
R000599,Capital City,2021-03-28,Power
R000600,Capital City,2021-05-22,Regular
R000601,Capital City,2022-06-16,Regular
R000602,Metroville,2021-01-18,Regular
R000603,Metroville,2021-12-04,New
R000604,Capital City,2021-08-13,Occasional
R000605,Metroville,2021-11-18,Power
R000606,Metroville,2022-04-27,Occasional
R000607,Metroville,2022-08-03,New
R000608,Capital City,2021-03-01,Regular
R000609,Metroville,2021-01-27,Occasional
R000610,Capital City,2022-12-27,Regular
R000611,Capital City,2022-09-14,Regular
R000612,Metroville,2021-10-23,Power
R000613,Metroville,2022-05-22,Occasional
R000614,Metroville,2022-07-05,Regular
R000615,Capital City,2021-01-19,Occasional
R000616,Capital City,2021-07-20,Regular
R000617,Metroville,2021-09-13,Regular
R000618,Capital City,2022-11-11,Regular
R000619,Capital City,2021-06-10,Occasional
R000620,Capital City,2022-04-21,Regular
R000621,Capital City,2022-08-30,New
R000622,Capital City,2021-09-21,Power
R000623,Capital City,2022-08-18,Occasional
R000624,Metroville,2021-09-13,Regular
R000625,Capital City,2021-02-17,Occasional
R000626,Capital City,2021-07-07,Occasional
R000627,Metroville,2021-06-08,Regular
R000628,Capital City,2021-05-02,Occasional
R000629,Metroville,2022-02-11,Occasional
R000630,Metroville,2021-10-05,Occasional
R000631,Metroville,2021-04-14,New
R000632,Metroville,2021-08-03,Occasional
R000633,Metroville,2021-10-22,Regular
R000634,Metroville,2021-06-19,Occasional
R000635,Capital City,2021-10-02,Regular
R000636,Capital City,2022-07-23,Power
R000637,Capital City,2021-09-02,Regular
R000638,Metroville,2021-09-28,Regular
R000639,Metroville,2022-04-11,Power
R000640,Metroville,2022-04-23,Occasional
R000641,Capital City,2021-03-20,New
R000642,Metroville,2022-03-24,Regular
R000643,Metroville,2021-07-17,Occasional
R000644,Metroville,2021-08-23,Regular
R000645,Metroville,2021-03-31,Regular
R000646,Metroville,2022-05-02,Regular
R000647,Metroville,2022-03-26,Occasional
R000648,Capital City,2021-10-08,Regular
R000649,Metroville,2022-10-14,Regular
R000650,Capital City,2021-01-01,New
R000651,Metroville,2022-03-15,Power
R000652,Metroville,2022-05-06,Occasional
R000653,Capital City,2022-03-29,Power
R000654,Capital City,2022-01-23,Power
R000655,Metroville,2022-02-08,Power
R000656,Metroville,2021-06-27,Power
R000657,Metroville,2022-10-11,Power
R000658,Metroville,2022-08-13,Occasional
R000659,Metroville,2022-07-31,New
R000660,Metroville,2022-05-10,Regular
R000661,Metroville,2021-12-05,Regular
R000662,Capital City,2021-01-21,Regular
R000663,Capital City,2022-07-29,Regular
R000664,Metroville,2021-01-08,New
R000665,Capital City,2022-05-27,Occasional
R000666,Metroville,2022-10-28,New
R000667,Metroville,2021-11-03,Power
R000668,Capital City,2021-11-10,Occasional
R000669,Metroville,2022-01-28,Occasional
R000670,Metroville,2021-06-25,Regular
R000671,Metroville,2021-09-11,Occasional
R000672,Capital City,2021-11-02,New
R000673,Capital City,2022-10-30,Occasional
R000674,Metroville,2022-06-04,Regular
R000675,Capital City,2021-10-28,Regular
R000676,Capital City,2021-11-29,Occasional
R000677,Metroville,2021-05-13,New
R000678,Metroville,2021-01-19,Power
R000679,Capital City,2022-12-12,Occasional
R000680,Metroville,2021-05-22,Occasional
R000681,Capital City,2021-12-08,Regular
R000682,Capital City,2021-08-31,Occasional
R000683,Capital City,2022-12-26,Regular
R000684,Capital City,2022-01-06,Power
R000685,Metroville,2022-03-02,Regular
R000686,Capital City,2021-11-28,Regular
R000687,Capital City,2021-10-29,Occasional
R000688,Metroville,2021-06-29,Power
R000689,Metroville,2021-06-21,Occasional
R000690,Metroville,2021-04-24,Occasional
R000691,Metroville,2022-05-21,Regular
R000692,Capital City,2021-08-20,Regular
R000693,Capital City,2022-05-22,Regular
R000694,Capital City,2022-03-28,Regular
R000695,Capital City,2021-10-12,Occasional
R000696,Metroville,2021-08-22,Regular
R000697,Metroville,2022-12-03,Occasional
R000698,Metroville,2021-11-29,Power
R000699,Metroville,2022-01-22,Regular
R000700,Capital City,2021-02-16,New
R000701,Metroville,2021-02-05,Regular
