driver_id,city,join_date,experience_months,vehicle_type
D00222,Metroville,2020-07-19,29,Standard
D00223,Metroville,2022-05-14,7,Electric
D00224,Capital City,2022-10-14,2,Standard
D00225,Metroville,2020-08-16,28,Standard
D00226,Capital City,2020-03-23,33,XL
D00227,Metroville,2022-01-17,11,Electric
D00228,Metroville,2020-01-23,35,Standard
D00229,Metroville,2020-04-09,33,Standard
D00230,Capital City,2022-03-21,9,Premium
D00231,Metroville,2020-08-28,28,Standard
D00232,Metroville,2020-10-06,27,Standard
D00233,Capital City,2022-12-14,0,XL
D00234,Metroville,2021-05-04,20,Standard
D00235,Metroville,2022-05-06,8,Electric
D00236,Metroville,2020-07-24,29,Standard
D00237,Metroville,2021-05-09,20,Standard
D00238,Metroville,2021-06-25,18,XL
D00239,Capital City,2020-01-27,35,Standard
D00240,Metroville,2021-03-12,22,Premium
D00241,Capital City,2020-12-01,25,Standard
D00242,Capital City,2022-01-27,11,XL
D00243,Metroville,2022-03-18,9,Standard
D00244,Capital City,2021-05-17,19,Premium
D00245,Metroville,2020-01-26,35,Standard
D00246,Metroville,2021-11-09,13,XL
D00247,Metroville,2020-12-02,25,Standard
D00248,Capital City,2020-02-03,35,Standard
D00249,Capital City,2021-08-05,17,Standard
D00250,Metroville,2020-05-10,32,Standard
D00251,Capital City,2020-05-29,31,XL
D00252,Metroville,2021-10-27,14,Electric
D00253,Capital City,2021-02-24,22,Standard
D00254,Metroville,2022-03-30,9,Standard
D00255,Capital City,2022-01-30,11,Premium
D00256,Metroville,2020-01-24,35,Standard
D00257,Metroville,2020-05-06,32,Standard
D00258,Metroville,2022-12-12,0,Standard
D00259,Metroville,2021-03-22,21,Electric
D00260,Metroville,2020-09-01,28,Standard
D00261,Metroville,2021-12-30,12,Standard
D00262,Capital City,2022-02-28,10,Standard
D00263,Metroville,2020-05-13,32,Standard
D00264,Metroville,2022-08-17,4,Standard
D00265,Capital City,2022-12-21,0,Standard
D00266,Capital City,2021-04-03,21,Standard
D00267,Metroville,2021-12-13,12,Standard
D00268,Capital City,2021-11-19,13,Standard
D00269,Metroville,2022-06-23,6,Standard
D00270,Capital City,2020-06-06,31,Standard
D00271,Capital City,2021-02-23,22,Premium
D00272,Capital City,2022-06-22,6,Standard
D00273,Capital City,2022-08-29,4,Standard
D00274,Metroville,2020-05-17,31,Electric
D00275,Metroville,2022-02-15,10,Electric
D00276,Metroville,2022-08-18,4,Electric
D00277,Metroville,2021-01-14,23,XL
D00278,Metroville,2021-09-26,15,Standard
D00279,Capital City,2021-01-25,23,XL
D00280,Metroville,2022-12-04,0,Standard
D00281,Metroville,2021-12-03,13,Standard
D00282,Metroville,2021-06-18,18,XL
D00283,Metroville,2021-05-29,19,Standard
D00284,Capital City,2020-08-12,29,Standard
D00285,Metroville,2021-04-15,20,Premium
D00286,Capital City,2020-12-10,25,Premium
D00287,Capital City,2020-09-28,27,Standard
D00288,Metroville,2021-07-29,17,XL
D00289,Metroville,2021-11-13,13,Standard
D00290,Capital City,2022-07-27,5,Premium
D00291,Metroville,2022-02-23,10,Electric
D00292,Capital City,2022-06-05,7,Electric
D00293,Capital City,2021-10-15,14,Standard
D00294,Capital City,2021-06-07,19,Premium
D00295,Capital City,2022-01-01,12,XL
D00296,Metroville,2021-07-12,17,Standard
D00297,Metroville,2022-06-06,6,XL
D00298,Capital City,2022-04-17,8,Standard
D00299,Metroville,2020-01-28,35,XL
D00300,Metroville,2020-11-08,26,Standard
D00301,Metroville,2021-02-24,22,Electric
D00302,Capital City,2021-06-13,18,Standard
D00303,Metroville,2020-05-07,32,Premium
D00304,Capital City,2021-10-30,14,Premium
D00305,Metroville,2022-01-22,11,Standard
D00306,Capital City,2022-12-27,0,Standard
D00307,Metroville,2021-09-14,15,XL
D00308,Capital City,2021-10-15,14,Premium
D00309,Capital City,2022-06-28,6,Standard
D00310,Metroville,2022-03-07,10,Standard
D00311,Metroville,2022-03-14,9,Standard
D00312,Capital City,2022-01-29,11,Standard
D00313,Metroville,2020-05-03,32,Standard
D00314,Capital City,2023-01-01,0,Standard
D00315,Capital City,2021-03-10,22,Standard
D00316,Capital City,2022-07-26,5,Premium
D00317,Metroville,2022-09-17,3,Premium
D00318,Metroville,2022-03-27,9,XL
D00319,Capital City,2020-02-19,34,Standard
D00320,Metroville,2020-07-15,30,Standard
D00321,Capital City,2020-08-13,29,Standard
D00322,Capital City,2020-05-10,32,Premium
D00323,Capital City,2021-03-03,22,Standard
D00324,Metroville,2021-04-22,20,Standard
D00325,Metroville,2020-03-13,34,Standard
D00326,Metroville,2022-05-06,8,Standard
D00327,Metroville,2021-08-26,16,Standard
D00328,Metroville,2020-10-18,26,Standard
D00329,Metroville,2020-11-20,25,Standard
D00330,Capital City,2020-11-03,26,Standard
D00331,Capital City,2020-05-05,32,Standard
D00332,Capital City,2021-01-04,24,XL
D00333,Capital City,2021-04-03,21,Electric
D00334,Metroville,2020-01-28,35,Standard
D00335,Metroville,2021-03-23,21,Standard
D00336,Metroville,2020-01-11,36,Standard
D00337,Metroville,2022-07-25,5,Standard
D00338,Metroville,2021-10-20,14,Premium
D00339,Capital City,2022-01-26,11,Standard
D00340,Metroville,2021-06-12,18,Standard
D00341,Capital City,2022-03-15,9,Standard
D00342,Capital City,2020-07-20,29,Standard
D00343,Metroville,2020-07-11,30,Electric
D00344,Capital City,2020-04-03,33,Premium
D00345,Metroville,2021-08-06,17,Premium
D00346,Metroville,2022-04-30,8,Standard
D00347,Metroville,2020-07-24,29,Standard
D00348,Capital City,2021-01-18,23,Standard
D00349,Capital City,2022-01-02,12,Standard
D00350,Metroville,2022-11-11,1,Premium
D00351,Capital City,2020-12-14,24,Electric
D00352,Capital City,2020-05-22,31,Standard
D00353,Capital City,2021-01-23,23,Electric
D00354,Metroville,2020-08-16,28,Standard
D00355,Metroville,2021-10-21,14,Standard
D00356,Capital City,2021-12-06,13,Standard
D00357,Capital City,2020-11-09,26,Standard
D00358,Metroville,2020-11-26,25,XL
D00359,Metroville,2021-12-31,12,Standard
D00360,Capital City,2022-12-11,0,XL
D00361,Metroville,2021-11-26,13,Standard
D00362,Metroville,2020-07-10,30,XL
D00363,Capital City,2020-12-23,24,Standard
D00364,Capital City,2020-01-20,35,Standard
D00365,Metroville,2021-11-28,13,Standard
D00366,Metroville,2022-12-21,0,Standard
D00367,Capital City,2021-04-06,21,Standard
D00368,Capital City,2021-02-28,22,Premium
D00369,Capital City,2022-06-23,6,Standard
D00370,Metroville,2020-12-07,25,Premium
D00371,Metroville,2021-07-31,17,XL
D00372,Metroville,2020-03-08,34,Standard
D00373,Capital City,2022-12-06,0,Electric
D00374,Metroville,2021-06-21,18,Standard
D00375,Capital City,2022-10-25,2,Standard
D00376,Metroville,2021-06-17,18,Standard
D00377,Metroville,2020-04-26,32,Standard
D00378,Metroville,2020-10-08,27,Electric
D00379,Capital City,2022-10-04,2,Electric
D00380,Metroville,2021-08-01,17,Standard
D00381,Capital City,2021-06-19,18,Standard
D00382,Capital City,2022-09-06,3,Standard
D00383,Capital City,2022-10-31,2,Electric
D00384,Metroville,2020-05-12,32,Standard
D00385,Metroville,2020-06-15,31,Standard
D00386,Metroville,2020-04-02,33,Premium
D00387,Metroville,2022-01-11,11,Standard
D00388,Metroville,2020-05-07,32,Standard
D00389,Metroville,2022-06-03,7,Premium
D00390,Capital City,2022-10-15,2,Standard
D00391,Metroville,2020-12-06,25,XL
D00392,Metroville,2022-11-03,1,Standard
D00393,Capital City,2022-02-22,10,Standard
D00394,Metroville,2022-01-04,12,Electric
D00395,Metroville,2022-04-07,8,Electric
D00396,Metroville,2022-07-16,5,XL
D00397,Metroville,2020-08-25,28,Standard
D00398,Capital City,2022-05-02,8,XL
D00399,Metroville,2022-09-09,3,Premium
D00400,Metroville,2020-07-07,30,XL
D00401,Capital City,2022-08-27,4,Standard
D00402,Metroville,2021-03-29,21,Standard
D00403,Capital City,2022-06-16,6,Standard
D00404,Capital City,2021-06-12,18,Standard
D00405,Capital City,2021-11-30,13,Premium
D00406,Capital City,2022-11-28,1,Electric
D00407,Metroville,2021-02-19,22,Standard
D00408,Capital City,2021-03-24,21,Standard
D00409,Capital City,2022-01-20,11,Premium
D00410,Capital City,2020-12-12,25,Standard
D00411,Metroville,2020-02-09,35,Premium
D00412,Metroville,2022-12-03,0,Premium
D00413,Metroville,2020-09-28,27,Standard
D00414,Metroville,2020-09-01,28,Electric
D00415,Metroville,2022-08-29,4,Standard
D00416,Capital City,2022-08-21,4,Premium
D00417,Capital City,2021-12-02,13,Standard
D00418,Capital City,2020-03-10,34,Standard
D00419,Capital City,2022-03-05,10,XL
D00420,Metroville,2021-07-04,18,Standard
D00421,Capital City,2022-07-14,5,Standard
D00422,Capital City,2022-01-13,11,Standard
D00423,Capital City,2020-07-07,30,Standard
D00424,Metroville,2022-10-02,3,Standard
D00425,Metroville,2021-06-16,18,Standard
D00426,Metroville,2021-11-21,13,Standard
D00427,Capital City,2020-03-02,34,Standard
D00428,Capital City,2020-09-15,27,Standard
D00429,Metroville,2022-01-12,11,Standard
D00430,Capital City,2022-12-26,0,Standard
D00431,Metroville,2021-04-04,21,Standard
D00432,Metroville,2021-06-20,18,Standard
D00433,Metroville,2021-01-13,23,Standard
D00434,Capital City,2022-05-05,8,Standard
D00435,Metroville,2021-02-01,23,Standard
D00436,Metroville,2020-05-22,31,Standard
D00437,Capital City,2022-07-09,5,Premium
D00438,Metroville,2020-05-28,31,Standard
D00439,Metroville,2022-07-05,6,Standard
D00440,Capital City,2022-05-08,7,XL
D00441,Metroville,2022-06-30,6,Electric
D00442,Metroville,2021-12-24,12,Standard
D00443,Metroville,2022-07-09,5,Standard
D00444,Capital City,2021-12-17,12,XL
D00445,Capital City,2021-03-22,21,Standard
D00446,Capital City,2022-11-21,1,XL
D00447,Metroville,2022-01-20,11,Standard
D00448,Capital City,2022-12-11,0,XL
D00449,Capital City,2021-10-13,14,Standard
D00450,Metroville,2020-11-25,25,XL
D00451,Capital City,2020-06-03,31,Standard
D00452,Metroville,2022-07-19,5,Electric
D00453,Capital City,2021-08-14,16,XL
D00454,Metroville,2021-04-11,21,Premium
D00455,Metroville,2021-12-06,13,XL
D00456,Metroville,2022-04-05,9,Premium
D00457,Capital City,2021-04-06,21,XL
D00458,Metroville,2022-09-14,3,Standard
D00459,Capital City,2020-11-16,25,Standard
D00460,Metroville,2021-05-24,19,Electric
D00461,Metroville,2022-01-02,12,Premium
D00462,Metroville,2021-06-09,19,XL
D00463,Capital City,2022-03-20,9,Premium
D00464,Capital City,2021-03-26,21,Standard
D00465,Capital City,2020-09-06,28,XL
D00466,Metroville,2021-09-26,15,Standard
D00467,Capital City,2021-12-12,12,Standard
D00468,Metroville,2021-06-22,18,Standard
D00469,Metroville,2021-11-19,13,XL
D00470,Metroville,2022-01-04,12,Standard
D00471,Capital City,2021-05-07,20,Standard
D00472,Capital City,2021-07-19,17,XL
D00473,Capital City,2020-07-15,30,XL
D00474,Metroville,2021-07-09,18,Standard
D00475,Metroville,2022-06-26,6,Standard
D00476,Metroville,2020-04-03,33,Standard
D00477,Metroville,2021-01-04,24,Standard
D00478,Metroville,2020-12-18,24,Standard
D00479,Metroville,2021-01-17,23,Premium
D00480,Capital City,2020-01-26,35,XL
D00481,Capital City,2020-06-25,30,Premium
D00482,Capital City,2022-01-17,11,Standard
D00483,Metroville,2022-10-18,2,XL
D00484,Metroville,2020-11-03,26,Standard
D00485,Metroville,2022-02-17,10,Standard
D00486,Capital City,2021-10-27,14,Standard
D00487,Metroville,2020-07-27,29,Standard
D00488,Capital City,2021-01-21,23,Premium
D00489,Metroville,2021-05-20,19,XL
D00490,Metroville,2021-11-03,14,Premium
D00491,Capital City,2021-01-31,23,Electric
D00492,Metroville,2020-03-06,34,Standard
D00493,Metroville,2021-06-30,18,Standard
D00494,Metroville,2022-06-30,6,Standard
D00495,Metroville,2020-02-15,35,Electric
D00496,Metroville,2021-10-27,14,Electric
D00497,Capital City,2021-07-22,17,XL
D00498,Capital City,2021-10-12,14,XL
D00499,Capital City,2020-05-19,31,Standard
D00500,Metroville,2021-07-16,17,Electric
D00501,Metroville,2022-10-29,2,Standard
D00502,Capital City,2022-05-10,7,Standard
D00503,Capital City,2020-02-08,35,Standard
D00504,Capital City,2021-12-16,12,Standard
D00505,Capital City,2020-05-03,32,Standard
D00506,Capital City,2022-03-21,9,Standard
D00507,Metroville,2020-05-20,31,Standard
D00508,Metroville,2021-03-11,22,Premium
D00509,Metroville,2020-11-30,25,Standard
D00510,Metroville,2020-11-19,25,XL
D00511,Metroville,2022-10-24,2,Standard
D00512,Capital City,2021-03-12,22,Electric
D00513,Capital City,2022-06-01,7,XL
D00514,Metroville,2020-12-28,24,XL
D00515,Capital City,2022-12-16,0,Electric
D00516,Metroville,2022-02-10,10,Electric
D00517,Metroville,2020-08-21,28,Premium
D00518,Metroville,2020-05-03,32,Standard
D00519,Metroville,2021-02-15,22,Standard
D00520,Capital City,2021-02-11,22,Premium
D00521,Capital City,2022-06-10,6,Standard
D00522,Capital City,2021-12-14,12,Premium
D00523,Metroville,2020-12-29,24,XL
D00524,Metroville,2021-04-14,20,Standard
D00525,Metroville,2022-02-02,11,Standard
D00526,Metroville,2020-05-20,31,Standard
D00527,Capital City,2021-12-16,12,Standard
D00528,Metroville,2022-11-18,1,Electric
D00529,Metroville,2020-07-16,29,Premium
D00530,Metroville,2020-06-11,31,Standard
D00531,Metroville,2020-07-25,29,Electric
D00532,Metroville,2020-10-06,27,Standard
D00533,Capital City,2020-05-07,32,Electric
D00534,Metroville,2021-08-21,16,XL
D00535,Metroville,2021-08-02,17,Standard
D00536,Metroville,2020-11-28,25,Standard
D00537,Metroville,2021-02-09,23,Standard
D00538,Metroville,2020-04-18,32,Standard
D00539,Metroville,2020-10-02,27,Electric
D00540,Capital City,2021-04-27,20,Standard
D00541,Capital City,2022-10-11,2,Standard
D00542,Metroville,2021-09-09,15,Standard
D00543,Metroville,2020-02-28,34,XL
D00544,Capital City,2022-05-26,7,Standard
D00545,Metroville,2020-08-22,28,Standard
D00546,Metroville,2020-08-12,29,XL
D00547,Capital City,2021-06-29,18,Standard
D00548,Capital City,2020-10-03,27,Standard
D00549,Capital City,2022-11-04,1,Standard
D00550,Capital City,2022-01-31,11,Standard
D00551,Metroville,2020-02-18,34,XL
D00552,Metroville,2022-01-26,11,Electric
D00553,Metroville,2021-04-26,20,Electric
D00554,Capital City,2020-01-24,35,Standard
D00555,Metroville,2021-11-21,13,XL
D00556,Metroville,2022-03-22,9,XL
D00557,Metroville,2022-04-10,8,Premium
D00558,Metroville,2021-02-18,22,XL
D00559,Metroville,2022-09-13,3,XL
D00560,Metroville,2022-06-30,6,Standard
D00561,Capital City,2021-04-08,21,XL
D00562,Capital City,2022-03-18,9,Standard
D00563,Capital City,2021-01-23,23,Premium
D00564,Capital City,2020-06-06,31,Standard
D00565,Metroville,2020-10-13,27,Electric
D00566,Metroville,2022-01-28,11,Electric
D00567,Metroville,2020-06-02,31,Electric
D00568,Capital City,2022-12-31,0,XL
D00569,Metroville,2022-03-05,10,Electric
D00570,Metroville,2021-11-17,13,Premium
D00571,Metroville,2022-01-14,11,Premium
D00572,Capital City,2021-04-24,20,Standard
D00573,Capital City,2021-04-12,20,Standard
D00574,Capital City,2022-07-21,5,Electric
D00575,Metroville,2021-12-19,12,Standard
D00576,Capital City,2021-09-05,16,Standard
D00577,Metroville,2021-11-11,13,Standard
D00578,Metroville,2020-07-21,29,Standard
D00579,Metroville,2022-07-01,6,Standard
D00580,Capital City,2021-08-18,16,Standard
D00581,Metroville,2022-02-20,10,Premium
D00582,Capital City,2020-11-26,25,Standard
D00583,Capital City,2022-12-22,0,Premium
D00584,Metroville,2020-04-29,32,Standard
D00585,Metroville,2022-02-09,10,Premium
D00586,Metroville,2021-01-26,23,Electric
D00587,Capital City,2022-06-11,6,Standard
D00588,Metroville,2020-05-12,32,Standard
D00589,Metroville,2020-10-16,26,Standard
D00590,Capital City,2021-10-23,14,Premium
D00591,Metroville,2020-05-09,32,Standard
D00592,Metroville,2020-11-22,25,Standard
D00593,Capital City,2020-05-27,31,Standard
D00594,Capital City,2021-08-22,16,Electric
D00595,Capital City,2022-06-19,6,Standard
D00596,Metroville,2020-10-30,26,Standard
D00597,Capital City,2022-04-13,8,XL
D00598,Capital City,2021-03-21,21,XL
D00599,Capital City,2022-04-03,9,XL
D00600,Metroville,2020-10-05,27,XL
D00601,Capital City,2021-03-03,22,Standard
D00602,Capital City,2021-06-01,19,Electric
D00603,Metroville,2020-08-15,28,XL
D00604,Metroville,2020-10-17,26,Standard
D00605,Metroville,2020-01-04,36,Standard
D00606,Metroville,2022-08-08,4,Standard
D00607,Capital City,2021-01-21,23,Standard
D00608,Metroville,2020-04-06,33,Standard
D00609,Metroville,2022-11-07,1,Standard
D00610,Metroville,2021-10-04,15,Standard
D00611,Metroville,2022-01-02,12,Standard
D00612,Capital City,2021-09-07,16,Standard
D00613,Capital City,2020-12-07,25,Standard
D00614,Metroville,2020-12-21,24,Standard
D00615,Capital City,2021-02-04,23,Standard
D00616,Capital City,2020-03-11,34,Premium
D00617,Metroville,2022-12-29,0,Electric
D00618,Metroville,2020-10-08,27,Standard
D00619,Metroville,2022-07-27,5,Standard
D00620,Metroville,2021-09-17,15,Premium
D00621,Metroville,2022-03-25,9,Premium
D00622,Metroville,2020-03-14,34,Electric
D00623,Metroville,2021-12-13,12,Premium
D00624,Capital City,2022-10-03,3,Standard
D00625,Metroville,2021-10-26,14,Standard
D00626,Metroville,2021-04-23,20,Standard
D00627,Capital City,2020-07-24,29,Standard
D00628,Metroville,2022-06-25,6,Standard
D00629,Capital City,2021-02-05,23,Standard
D00630,Metroville,2020-11-06,26,Standard
D00631,Metroville,2021-12-29,12,Premium
D00632,Capital City,2020-08-13,29,Premium
D00633,Metroville,2022-02-27,10,Electric
D00634,Metroville,2021-05-28,19,Standard
D00635,Metroville,2021-04-04,21,Standard
D00636,Metroville,2020-10-31,26,Standard
D00637,Metroville,2020-04-22,32,Standard
D00638,Capital City,2022-10-22,2,Electric
