ride_id,rider_id,driver_id,city,zone,request_time,pickup_time,completion_time,distance_km,fare,surge_multiplier,wait_time,trip_duration,status,cancellation_reason
REQ0000050,R012132,D00543,Metroville,Residential North,2023-02-22 12:45:28,2023-02-22 12:51:52,2023-02-22 13:09:10,10.2,17.33,1.0,6.4,17.3,Completed,
REQ0000051,R005630,D01018,Capital City,Westside,2023-02-18 23:01:34,2023-02-18 23:08:52,2023-02-18 23:28:10,12.8,20.75,1.0,7.3,19.3,Completed,
REQ0000052,R000554,D01731,Metroville,Residential North,2023-03-09 21:21:20,2023-03-09 21:26:20,2023-03-09 21:46:14,10.3,17.85,1.0,5.0,19.9,Completed,
REQ0000053,R014402,D00357,Capital City,Industrial Zone,2023-01-27 15:23:09,2023-01-27 15:28:45,2023-01-27 16:05:03,17.8,29.3,1.0,5.6,36.3,Completed,
REQ0000054,R006499,D01780,Capital City,Industrial Zone,2023-02-21 20:13:13,2023-02-21 20:17:37,2023-02-21 20:33:01,7.0,13.21,1.0,4.4,15.4,Completed,
REQ0000055,R000526,D02869,Capital City,Industrial Zone,2023-01-30 08:24:38,2023-01-30 08:28:08,2023-01-30 09:16:38,17.7,46.52,1.5,3.5,48.5,Completed,
REQ0000056,R007867,D00085,Capital City,University Area,2023-01-03 08:24:36,2023-01-03 08:29:30,2023-01-03 09:06:24,18.4,36.14,1.2,4.9,36.9,Completed,
REQ0000057,R005580,D01845,Capital City,University Area,2023-01-12 08:27:16,2023-01-12 08:34:46,2023-01-12 09:00:34,7.2,18.01,1.2,7.5,25.8,Completed,
REQ0000058,R014127,D02067,Metroville,Suburbs,2023-01-29 14:54:37,2023-01-29 14:59:49,2023-01-29 15:16:13,5.7,11.8,1.0,5.2,16.4,Completed,
REQ0000059,R002466,D02413,Metroville,Downtown,2023-02-18 17:23:03,2023-02-18 17:30:33,2023-02-18 17:37:51,3.2,10.41,1.4,7.5,7.3,Completed,
REQ0000060,R014345,D00893,Metroville,Tech Park,2023-01-07 01:16:05,2023-01-07 01:20:47,2023-01-07 01:32:23,8.0,13.84,1.0,4.7,11.6,Completed,
REQ0000061,R011218,D01086,Metroville,Tech Park,2023-02-05 15:55:58,2023-02-05 15:58:58,2023-02-05 16:02:40,2.6,7.41,1.2,3.0,3.7,Completed,
REQ0000062,R013337,D00881,Capital City,Westside,2023-03-21 11:03:36,2023-03-21 11:07:18,2023-03-21 11:31:24,12.3,20.88,1.0,3.7,24.1,Completed,
REQ0000063,R004039,D00356,Capital City,Westside,2023-01-22 22:15:01,2023-01-22 22:17:25,2023-01-22 22:22:25,3.4,7.33,1.0,2.4,5.0,Completed,
REQ0000064,R010024,D02487,Metroville,Airport,2023-01-23 14:34:07,,,,,1.4,3.4,,Cancelled_Driver,Rider no-show
REQ0000065,R004623,D02644,Metroville,Airport,2023-01-24 19:15:50,2023-01-24 19:19:26,2023-01-24 19:57:14,20.5,36.05,1.1,3.6,37.8,Completed,
REQ0000066,R012841,D00565,Metroville,Residential North,2023-01-08 17:25:08,2023-01-08 17:32:14,2023-01-08 17:48:44,6.8,15.76,1.2,7.1,16.5,Completed,
REQ0000067,R005138,D02307,Capital City,Central Business District,2023-02-17 18:36:50,2023-02-17 18:39:56,2023-02-17 18:51:44,3.6,10.31,1.2,3.1,11.8,Completed,
REQ0000068,R010268,D00496,Metroville,Airport,2023-03-23 20:38:48,2023-03-23 20:40:48,2023-03-23 20:59:00,12.1,21.73,1.1,2.0,18.2,Completed,
REQ0000069,R011051,D01816,Metroville,Suburbs,2023-03-28 19:48:25,2023-03-28 19:53:13,2023-03-28 20:23:13,16.5,34.84,1.3,4.8,30.0,Completed,
REQ0000070,R011087,D02592,Metroville,Airport,2023-03-19 17:36:45,2023-03-19 17:40:15,2023-03-19 19:03:33,23.5,60.47,1.4,3.5,83.3,Completed,
REQ0000071,R001470,D01847,Capital City,Westside,2023-03-05 19:08:51,2023-03-05 19:15:57,2023-03-05 19:21:21,3.8,8.66,1.1,7.1,5.4,Completed,
REQ0000072,R006502,D02473,Capital City,University Area,2023-02-18 17:24:19,2023-02-18 17:27:31,2023-02-18 17:31:25,1.4,5.72,1.2,3.2,3.9,Completed,
REQ0000073,R003802,D02221,Metroville,Tech Park,2023-03-23 14:48:09,2023-03-23 14:54:57,2023-03-23 15:21:39,10.5,24.84,1.3,6.8,26.7,Completed,
REQ0000074,R008280,D02379,Capital City,Central Business District,2023-01-30 09:57:28,2023-01-30 10:03:46,2023-01-30 10:37:34,9.9,23.34,1.2,6.3,33.8,Completed,
REQ0000075,R002965,D00467,Capital City,Westside,2023-01-17 19:26:03,2023-01-17 19:29:51,2023-01-17 19:34:15,2.3,7.1,1.2,3.8,4.4,Completed,
REQ0000076,R002167,D02065,Metroville,Downtown,2023-02-19 15:56:41,2023-02-19 16:00:29,2023-02-19 16:37:17,20.7,46.0,1.4,3.8,36.8,Completed,
REQ0000077,R001883,D01245,Metroville,Residential North,2023-01-06 17:59:55,2023-01-06 18:03:55,2023-01-06 18:25:55,8.4,22.23,1.4,4.0,22.0,Completed,
REQ0000078,R007326,D00223,Metroville,Airport,2023-01-02 18:06:09,2023-01-02 18:08:15,2023-01-02 18:24:21,6.2,17.3,1.4,2.1,16.1,Completed,
REQ0000079,R012495,D02331,Capital City,Westside,2023-01-04 19:28:25,2023-01-04 19:32:31,2023-01-04 19:50:37,8.8,18.93,1.2,4.1,18.1,Completed,
REQ0000080,R013359,D01519,Metroville,Residential North,2023-03-08 09:37:07,2023-03-08 09:43:43,2023-03-08 09:47:49,1.9,8.09,1.5,6.6,4.1,Completed,
REQ0000081,R003148,D01911,Capital City,Westside,2023-03-14 15:32:04,2023-03-14 15:36:04,2023-03-14 16:04:28,18.1,28.48,1.0,4.0,28.4,Completed,
REQ0000082,R005300,D00340,Metroville,Suburbs,2023-03-23 18:17:09,2023-03-23 18:22:51,2023-03-23 18:48:21,7.6,18.53,1.2,5.7,25.5,Completed,
REQ0000083,R005247,D01462,Metroville,Suburbs,2023-01-06 07:19:00,2023-01-06 07:24:24,2023-01-06 07:40:36,11.0,27.2,1.5,5.4,16.2,Completed,
REQ0000084,R005719,D00006,Metroville,Downtown,2023-01-20 12:27:35,2023-01-20 12:35:29,2023-01-20 12:49:29,4.9,13.62,1.3,7.9,14.0,Completed,
REQ0000085,R004465,D02313,Metroville,Suburbs,2023-03-03 17:50:04,2023-03-03 17:55:04,2023-03-03 18:02:58,2.9,8.6,1.2,5.0,7.9,Completed,
REQ0000086,R012835,,Metroville,Downtown,2023-02-13 09:39:46,,,,,3.0,4.8,,Cancelled_Rider,Price too high
REQ0000087,R006869,D01637,Capital City,Central Business District,2023-02-03 13:36:35,2023-02-03 13:41:47,2023-02-03 14:06:41,17.0,34.63,1.3,5.2,24.9,Completed,
REQ0000088,R012090,D01203,Capital City,Industrial Zone,2023-03-17 18:33:43,2023-03-17 18:37:07,2023-03-17 18:41:07,1.5,5.88,1.2,3.4,4.0,Completed,
REQ0000089,R010274,D02047,Capital City,Westside,2023-02-12 07:32:19,,,,,1.0,2.4,,Cancelled_Driver,Rider no-show
REQ0000090,R004674,D01089,Capital City,Central Business District,2023-02-02 17:06:52,2023-02-02 17:14:10,2023-02-02 17:28:16,7.0,15.62,1.2,7.3,14.1,Completed,
REQ0000091,R011313,D02556,Metroville,Airport,2023-01-13 08:44:34,2023-01-13 08:48:58,2023-01-13 09:34:28,14.6,34.9,1.3,4.4,45.5,Completed,
REQ0000092,R001836,D02670,Metroville,Tech Park,2023-02-01 08:10:39,2023-02-01 08:14:33,2023-02-01 09:16:27,22.3,50.11,1.3,3.9,61.9,Completed,
REQ0000093,R000846,D01163,Metroville,Tech Park,2023-02-25 12:09:26,2023-02-25 12:17:02,2023-02-25 12:25:50,3.8,10.89,1.3,7.6,8.8,Completed,
REQ0000094,R008387,D02177,Capital City,Central Business District,2023-03-04 10:59:25,2023-03-04 11:06:31,2023-03-04 11:19:55,7.9,18.19,1.3,7.1,13.4,Completed,
REQ0000095,R008883,D02043,Metroville,Suburbs,2023-01-22 17:21:10,2023-01-22 17:25:28,2023-01-22 17:37:10,3.0,7.85,1.0,4.3,11.7,Completed,
REQ0000096,R011767,D01708,Metroville,Residential North,2023-01-02 13:09:34,2023-01-02 13:16:58,2023-01-02 13:52:10,23.4,35.86,1.0,7.4,35.2,Completed,
REQ0000097,R001428,D00012,Metroville,Residential North,2023-03-31 12:41:09,2023-03-31 12:45:57,2023-03-31 12:49:57,1.8,5.26,1.0,4.8,4.0,Completed,
REQ0000098,R009704,D02289,Metroville,Downtown,2023-02-16 10:43:43,2023-02-16 10:49:07,2023-02-16 10:51:55,2.0,7.98,1.5,5.4,2.8,Completed,
REQ0000099,R002267,D00152,Metroville,Suburbs,2023-02-12 21:06:02,2023-02-12 21:11:44,2023-02-12 22:01:50,20.7,52.28,1.5,5.7,50.1,Completed,
REQ0000100,R013441,D00394,Metroville,Tech Park,2023-01-22 19:57:25,2023-01-22 20:01:01,2023-01-22 20:12:43,8.0,19.4,1.4,3.6,11.7,Completed,
REQ0000101,R001802,D01610,Metroville,Tech Park,2023-01-10 19:53:39,2023-01-10 20:06:51,2023-01-10 20:33:03,16.4,49.61,1.9,13.2,26.2,Completed,
REQ0000102,R004677,D01395,Capital City,Central Business District,2023-01-13 04:31:38,2023-01-13 04:33:50,2023-01-13 05:09:02,21.5,33.58,1.0,2.2,35.2,Completed,
REQ0000103,R010454,D01512,Capital City,Westside,2023-03-30 07:30:51,2023-03-30 07:34:39,2023-03-30 08:10:27,17.9,38.15,1.3,3.8,35.8,Completed,
REQ0000104,R006384,D01637,Capital City,Industrial Zone,2023-01-31 10:50:54,2023-01-31 10:54:12,2023-01-31 11:13:30,12.1,19.91,1.0,3.3,19.3,Completed,
REQ0000105,R003204,D00536,Metroville,Airport,2023-01-05 08:05:03,2023-01-05 08:07:39,2023-01-05 08:50:15,11.8,29.97,1.3,2.6,42.6,Completed,
REQ0000106,R008693,,Metroville,Residential North,2023-01-10 08:18:49,,,,,1.2,3.1,,Cancelled_Rider,Wait time too long
REQ0000107,R008196,D02425,Metroville,Airport,2023-03-03 17:27:26,2023-03-03 17:30:44,2023-03-03 18:21:44,12.4,27.53,1.1,3.3,51.0,Completed,
REQ0000108,R001355,D00131,Metroville,Residential North,2023-01-21 21:25:12,2023-01-21 21:32:12,2023-01-21 22:13:12,20.3,39.61,1.2,7.0,41.0,Completed,
REQ0000109,R010868,D02701,Metroville,Airport,2023-03-05 01:29:42,2023-03-05 01:36:00,2023-03-05 01:58:36,8.8,16.45,1.0,6.3,22.6,Completed,
REQ0000110,R008546,D02592,Metroville,Downtown,2023-02-11 22:47:45,2023-02-11 22:53:09,2023-02-11 23:46:03,17.8,41.33,1.3,5.4,52.9,Completed,
REQ0000111,R009077,D00537,Metroville,Tech Park,2023-01-22 20:16:26,2023-01-22 20:18:44,2023-01-22 20:26:44,4.4,9.88,1.1,2.3,8.0,Completed,
REQ0000112,R005468,D02476,Metroville,Suburbs,2023-03-05 15:17:58,2023-03-05 15:21:04,2023-03-05 15:26:40,1.9,5.62,1.0,3.1,5.6,Completed,
REQ0000113,R010145,D01180,Metroville,Airport,2023-02-16 07:45:21,2023-02-16 07:47:21,2023-02-16 08:05:57,12.6,28.57,1.4,2.0,18.6,Completed,
REQ0000114,R013823,D00950,Metroville,Downtown,2023-03-06 20:12:13,2023-03-06 20:17:25,2023-03-06 20:47:25,22.4,40.66,1.2,5.2,30.0,Completed,
REQ0000115,R001092,,Metroville,Downtown,2023-03-20 07:59:39,,,,,1.2,2.5,,Cancelled_Rider,Wait time too long
REQ0000116,R012505,D00169,Metroville,Downtown,2023-03-17 16:35:18,2023-03-17 16:39:00,2023-03-17 16:41:24,1.4,5.9,1.3,3.7,2.4,Completed,
REQ0000117,R008612,D02357,Capital City,University Area,2023-01-09 23:30:53,2023-01-09 23:38:23,2023-01-10 00:14:41,15.6,26.66,1.0,7.5,36.3,Completed,
REQ0000118,R007172,D01052,Metroville,Suburbs,2023-02-10 19:53:37,2023-02-10 20:00:55,2023-02-10 20:32:49,21.5,39.7,1.2,7.3,31.9,Completed,
REQ0000119,R005296,D02000,Capital City,Westside,2023-03-27 03:57:37,2023-03-27 04:01:13,2023-03-27 04:40:19,13.7,24.8,1.0,3.6,39.1,Completed,
REQ0000120,R001325,D00277,Metroville,Residential North,2023-02-27 16:15:25,2023-02-27 16:22:13,2023-02-27 16:33:31,7.6,14.65,1.1,6.8,11.3,Completed,
REQ0000121,R013070,D01512,Capital City,Central Business District,2023-03-11 17:26:01,2023-03-11 17:32:37,2023-03-11 18:17:19,16.9,38.33,1.3,6.6,44.7,Completed,
REQ0000122,R007809,D02683,Metroville,Airport,2023-03-16 17:13:34,2023-03-16 17:16:16,2023-03-16 17:28:52,6.6,17.23,1.4,2.7,12.6,Completed,
REQ0000123,R005411,D00055,Metroville,Airport,2023-03-13 15:46:21,2023-03-13 15:52:27,2023-03-13 15:57:15,2.9,8.04,1.2,6.1,4.8,Completed,
REQ0000124,R003545,D02584,Metroville,Residential North,2023-03-03 13:01:06,2023-03-03 13:07:30,2023-03-03 13:18:42,5.1,10.3,1.0,6.4,11.2,Completed,
REQ0000125,R005524,D02508,Metroville,Residential North,2023-02-02 17:26:10,2023-02-02 17:29:10,2023-02-02 17:35:40,3.3,11.15,1.5,3.0,6.5,Completed,
REQ0000126,R001370,D00353,Capital City,Central Business District,2023-02-09 08:34:44,2023-02-09 08:42:38,2023-02-09 09:28:14,22.0,46.46,1.3,7.9,45.6,Completed,
REQ0000127,R007336,D00641,Metroville,Airport,2023-01-01 04:15:04,2023-01-01 04:17:46,2023-01-01 04:48:28,11.8,21.27,1.0,2.7,30.7,Completed,
REQ0000128,R013612,D01370,Capital City,Westside,2023-03-10 19:29:32,2023-03-10 19:36:14,2023-03-10 20:02:02,9.6,19.68,1.1,6.7,25.8,Completed,
REQ0000129,R006774,D02494,Metroville,Airport,2023-01-23 15:24:51,2023-01-23 15:26:57,2023-01-23 16:01:15,22.9,42.15,1.2,2.1,34.3,Completed,
REQ0000130,R003298,D02634,Capital City,University Area,2023-01-12 08:04:10,2023-01-12 08:11:04,2023-01-12 08:48:04,13.8,29.53,1.2,6.9,37.0,Completed,
REQ0000131,R009230,D02926,Metroville,Suburbs,2023-03-22 20:22:01,2023-03-22 20:26:19,2023-03-22 21:17:19,19.2,33.19,1.0,4.3,51.0,Completed,
REQ0000132,R011008,D00752,Metroville,Suburbs,2023-03-07 16:49:51,2023-03-07 16:52:51,2023-03-07 17:22:33,15.9,26.03,1.0,3.0,29.7,Completed,
REQ0000133,R006155,D02862,Metroville,Downtown,2023-03-17 11:47:44,2023-03-17 11:53:38,2023-03-17 12:36:08,22.9,39.99,1.1,5.9,42.5,Completed,
REQ0000134,R005377,D00159,Metroville,Airport,2023-02-28 15:24:20,2023-02-28 15:26:32,2023-02-28 15:36:08,5.5,14.76,1.4,2.2,9.6,Completed,
REQ0000135,R009191,D01456,Metroville,Suburbs,2023-01-03 18:42:59,2023-01-03 18:49:29,2023-01-03 18:53:11,1.2,5.39,1.2,6.5,3.7,Completed,
REQ0000136,R014215,D01931,Metroville,Downtown,2023-03-01 07:05:08,2023-03-01 07:11:44,2023-03-01 07:40:20,15.2,35.04,1.4,6.6,28.6,Completed,
REQ0000137,R003266,D02152,Metroville,Tech Park,2023-03-12 18:35:46,2023-03-12 18:42:40,2023-03-12 19:30:04,19.9,46.89,1.4,6.9,47.4,Completed,
REQ0000138,R006054,D00181,Capital City,University Area,2023-02-01 13:19:34,2023-02-01 13:26:46,2023-02-01 13:31:46,2.3,8.41,1.4,7.2,5.0,Completed,
REQ0000139,R004145,D00972,Metroville,Downtown,2023-01-18 07:44:16,2023-01-18 07:48:16,2023-01-18 08:18:10,10.9,28.09,1.4,4.0,29.9,Completed,
REQ0000140,R010263,D01521,Capital City,Westside,2023-03-09 10:23:04,2023-03-09 10:29:28,2023-03-09 11:00:52,10.8,20.17,1.0,6.4,31.4,Completed,
REQ0000141,R003741,D01816,Metroville,Tech Park,2023-02-06 11:20:11,2023-02-06 11:25:47,2023-02-06 12:09:59,21.4,48.73,1.4,5.6,44.2,Completed,
REQ0000142,R002519,D00908,Capital City,Central Business District,2023-01-13 21:16:49,2023-01-13 21:22:19,2023-01-13 22:03:19,15.0,31.98,1.2,5.5,41.0,Completed,
REQ0000143,R014987,,Metroville,Tech Park,2023-01-07 20:17:19,,,,,1.4,3.9,,Cancelled_Rider,Wait time too long
REQ0000144,R011728,D02764,Capital City,University Area,2023-01-11 14:51:45,2023-01-11 14:55:33,2023-01-11 15:26:51,14.3,31.66,1.3,3.8,31.3,Completed,
REQ0000145,R011533,D00340,Metroville,Tech Park,2023-02-21 20:48:59,2023-02-21 20:54:53,2023-02-21 21:15:59,7.5,16.13,1.1,5.9,21.1,Completed,
REQ0000146,R000113,D00391,Metroville,Suburbs,2023-01-09 04:06:37,2023-01-09 04:13:55,2023-01-09 04:16:55,2.0,5.35,1.0,7.3,3.0,Completed,
REQ0000147,R012030,D02857,Capital City,Industrial Zone,2023-02-21 18:34:06,2023-02-21 18:41:30,2023-02-21 19:02:24,6.9,16.7,1.2,7.4,20.9,Completed,
REQ0000148,R002835,D02171,Metroville,Suburbs,2023-01-24 08:41:58,2023-01-24 08:48:52,2023-01-24 09:16:28,12.3,27.82,1.3,6.9,27.6,Completed,
REQ0000149,R013929,D02576,Capital City,Industrial Zone,2023-01-17 07:10:47,2023-01-17 07:14:11,2023-01-17 07:31:41,10.8,27.13,1.5,3.4,17.5,Completed,
REQ0000150,R003880,,Capital City,Industrial Zone,2023-02-04 15:36:50,,,,,1.4,2.7,,Cancelled_Rider,Wait time too long
REQ0000151,R013584,D01964,Capital City,Central Business District,2023-01-31 21:03:27,2023-01-31 21:06:39,2023-01-31 21:35:21,13.7,27.89,1.2,3.2,28.7,Completed,
REQ0000152,R007813,D00935,Metroville,Suburbs,2023-02-21 17:37:26,2023-02-21 17:40:56,2023-02-21 19:00:38,21.5,60.38,1.5,3.5,79.7,Completed,
REQ0000153,R000034,D00424,Metroville,Suburbs,2023-02-23 17:16:41,2023-02-23 17:21:05,2023-02-23 17:39:17,5.6,15.54,1.3,4.4,18.2,Completed,
REQ0000154,R011788,D00568,Capital City,University Area,2023-01-17 20:36:11,2023-01-17 20:43:59,2023-01-17 20:55:05,7.0,17.59,1.4,7.8,11.1,Completed,
REQ0000155,R002000,D02346,Metroville,Residential North,2023-01-30 18:15:47,2023-01-30 18:20:11,2023-01-30 19:37:17,24.2,47.42,1.1,4.4,77.1,Completed,
REQ0000156,R005705,D02455,Metroville,Suburbs,2023-01-15 03:36:00,2023-01-15 03:38:42,2023-01-15 04:13:42,17.7,28.99,1.0,2.7,35.0,Completed,
REQ0000157,R003913,D00535,Metroville,Residential North,2023-02-13 20:13:28,2023-02-13 20:19:46,2023-02-13 20:48:22,19.9,30.67,1.0,6.3,28.6,Completed,
REQ0000158,R007463,D01555,Metroville,Residential North,2023-02-11 18:26:24,2023-02-11 18:32:24,2023-02-11 19:50:42,21.6,56.23,1.4,6.0,78.3,Completed,
